,method,pretrain_model,training_ratio,level_3,mAP,rmse
51,transfer-learning,AP10k,0.1,shuffle0,0.4512029715081302,40.28109904766684
52,transfer-learning,AP10k,0.1,shuffle1,0.4120161360724264,45.509294371809695
53,transfer-learning,AP10k,0.1,shuffle2,0.4110993424800791,45.68201035153305
54,transfer-learning,AP10k,0.5,shuffle0,0.6558149649508497,27.989165066770767
55,transfer-learning,AP10k,0.5,shuffle1,0.6515294953127126,32.56532255301446
56,transfer-learning,AP10k,0.5,shuffle2,0.6261045835125558,35.4642191796021
57,transfer-learning,AP10k,1.0,shuffle0,0.7456618334017809,23.02229918086664
58,transfer-learning,AP10k,1.0,shuffle1,0.6872215631457876,31.142027942680873
59,transfer-learning,AP10k,1.0,shuffle2,0.694570145923597,29.850095585545816
60,transfer-learning,ImageNet,0.01,shuffle0,0.004511718452951286,164.82316609559413
61,transfer-learning,ImageNet,0.01,shuffle1,0.014585537700341685,148.13342661477304
62,transfer-learning,ImageNet,0.01,shuffle2,0.004459163136629955,143.7173218583313
63,transfer-learning,ImageNet,0.05,shuffle0,0.24929151008606823,60.37420545580408
64,transfer-learning,ImageNet,0.05,shuffle1,0.2588849778881912,67.25772385392452
65,transfer-learning,ImageNet,0.05,shuffle2,0.19231162128898838,66.76637768716662
66,transfer-learning,ImageNet,0.1,shuffle0,0.29321689998662487,59.154288245029136
67,transfer-learning,ImageNet,0.1,shuffle1,0.26465998910280913,65.84854311328723
68,transfer-learning,ImageNet,0.1,shuffle2,0.27394845987355043,63.16455726025332
69,transfer-learning,ImageNet,0.5,shuffle0,0.5242073757865138,34.278768840082655
70,transfer-learning,ImageNet,0.5,shuffle1,0.48818011996792265,51.456998481048394
71,transfer-learning,ImageNet,0.5,shuffle2,0.5028754560668423,43.95276640005077
72,transfer-learning,ImageNet,1.0,shuffle0,0.6111863400149052,29.949897342792525
73,transfer-learning,ImageNet,1.0,shuffle1,0.5664977086834195,40.15536067939244
74,transfer-learning,ImageNet,1.0,shuffle2,0.5880120856411623,36.84719365468503
75,transfer-learning,SuperAnimal,0.01,shuffle0,0.220631104165011,76.42265544953894
76,transfer-learning,SuperAnimal,0.01,shuffle1,0.1409005351473796,97.19303266373149
77,transfer-learning,SuperAnimal,0.01,shuffle2,0.16725827088627482,80.37297122527377
78,transfer-learning,SuperAnimal,0.05,shuffle0,0.49352039091036304,37.68881061068098
79,transfer-learning,SuperAnimal,0.05,shuffle1,0.49054602413189136,40.653618593742515
80,transfer-learning,SuperAnimal,0.05,shuffle2,0.5003885747216791,41.96908538045297
81,transfer-learning,SuperAnimal,0.1,shuffle0,0.5906339064393362,33.45514537527462
82,transfer-learning,SuperAnimal,0.1,shuffle1,0.5315339209416214,40.05902505418274
83,transfer-learning,SuperAnimal,0.1,shuffle2,0.523265354079657,38.76511091317429
84,transfer-learning,SuperAnimal,0.5,shuffle0,0.7234472785393089,24.62891564002404
85,transfer-learning,SuperAnimal,0.5,shuffle1,0.682484863346989,27.45486696863467
86,transfer-learning,SuperAnimal,0.5,shuffle2,0.6886332805130405,30.95491000222642
87,transfer-learning,SuperAnimal,1.0,shuffle0,0.7267117426201432,22.346334065344717
88,transfer-learning,SuperAnimal,1.0,shuffle1,0.7339953836320428,26.275718487698608
89,transfer-learning,SuperAnimal,1.0,shuffle2,0.7006903198558605,28.696732027539298
90,zeroshot,AP10k,1.0,shuffle0,0.4292712012624118,31.836760515798574
91,zeroshot,AP10k,1.0,shuffle1,0.389286924145563,38.19675628195797
92,zeroshot,AP10k,1.0,shuffle2,0.3931235075553621,42.2162959385404
93,zeroshot,SuperAnimal,1.0,shuffle0,0.6170723716167656,28.987735614261112
94,zeroshot,SuperAnimal,1.0,shuffle1,0.5511313636697319,34.71676388455209
95,zeroshot,SuperAnimal,1.0,shuffle2,0.588502299788072,36.78446337398534
